sender,recipient,money
0,1,35
0,1,35
0,1,31
0,1,620,0,250
0,0,250
0,0,250
0,1,250
0,1,250
0,1,250
0,1,250
0,1,250
0,1,250
0,1,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,1,38
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,1,250
0,1,250
0,2,250
0,2,250
0,2,250
0,2,250
0,2,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,0,250
0,1,250
0,2,250
0,2,250
0,1,38
0,0,1000
